3D PRINTER,PV,MPS,LT,NE,PU,MFP
MAKERBOT REPLICATOR MINI,74.53,80,200,1,1952,48
PRINTRBOT SIMPLE,216,80,100,1,974.67,30
ULTIMAKER 2,637.2,300,20,1,3406.67,42
XYZ DA VINCI 1.0,474.55,150,100,1,1032,46.65
MAKERBOT REPLICATOR 5.0,455.6,100,100,1,3864,48
ALFINIA H,125,30,150,1,1701.33,31.99
UP PLUS 2,160.33,30,150,1,2228,56.4
DITTO PRO,491.99,120,50,1,2570.67,44.99
AIRWOLF AW3D HD,1152,150,60,1,4021.33,48
FELIX 3.0,720,200,50,1,2708,32.6
CUBIFY CUBEPRO,1075.6,15,70,1,3780,99
MBOT GRID 2,702,120,100,2,1956,29.16